time,ir
33620,81319
33640,80683
33660,79030
33680,75259
33700,71911
33720,69609
33740,68187
33762,67097
33781,64069
33802,58327
33821,52984
33842,50839
33861,46155
33881,42679
